product_id,sku,post_title,total_sales,price
4301,16553,Domaine de La Tour Du Bon Bandol Rosé 2019,3.0,17.5
4105,16504,Emile Boeckel Sylvaner Vieilles Vignes 2019,5.0,6.8
4060,16498,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,9.0,11.9
6047,16264,Château de La Liquière Faugères L'Ampoule 2019,38.0,10.9
4648,16262,Bernard Baudry Chinon Blanc La Croix Boissée 2018,2.0,24.3
4197,16256,Château de La Liquière Faugères Les Amandiers Rosé 2019,8.0,9.4
4187,16189,Le Pas de l'Escalette Languedoc Les Petits Pas 2019,42.0,13.3
4734,16138,Camin Larredya Jurançon Moelleux Costat Darrer 2018,1.0,15.3
4075,16069,Plateau des Chênes Lirac 2015,0.0,14.7
4286,16066,Domaine Hauvette Les Baux de Provence Amethyste 2017,10.0,69.8
4900,16063,Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,1.0,20.8
4208,16024,Domaine Montrose Côtes de Thongue Rosé 2019,16.0,7.6
5380,16022,Nouvelle-Zélande Marlborough Momo Sauvignon Blanc 2018,0.0,18.0
6073,15951,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,0.0,24.5
4758,15859,Domaine Saint-Nicolas Fiefs Vendéens Rouge Cuvée Jacques 2016,0.0,24.3
4221,15829,Xavier Frissant Touraine Les Roses du Clos 2018,15.0,12.8
4799,15811,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,3.0,14.9
6328,15810,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,0.0,22.4
6628,15792,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,0.0,32.2
4222,15759,Xavier Frissant Touraine Amboise M de La Touche 2016,4.0,8.9
4962,15737,Château Turcaud Bordeaux Blanc Cuvée Majeure 2018,14.0,11.3
4790,15732,Maurice Schoech Riesling 2018,0.0,11.1
4104,15683,Emile Boeckel Riesling Brandluft 2018,12.0,9.7
4712,15667,Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut,1.0,15.8
5439,15649,La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,18.0,13.2
5747,15631,Thibaud Boudignon Anjou Blanc 2018,21.0,24.5
5477,15526,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,4.0,19.8
6094,15486,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,0.0,13.4
4598,15478,Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017,1.0,41.8
5807,15471,Château d'Arcole Saint-Emilion Grand Cru 2016,4.0,27.3
4703,15465,Albert Mann Crémant d'Alsace Extra Brut 2017,7.0,19.8
4229,15403,Mérieau Touraine L'Arpent des Vaudons 2018,0.0,9.6
4161,15375,Planeta Sicilia Plumbago 2017,0.0,11.6
3850,15300,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,0.0,20.8
5546,15202,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,6.0,15.2
4165,15075,Parés Baltà Penedès Indigena 2017,3.0,12.0
6213,15072,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,0.0,121.0
5709,15035,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,0.0,31.7
4065,15022,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,0.0,19.5
4155,14944,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,3.0,14.5
6886,14897,Gratavinum Priorat GV5 2011,0.0,42.0
5616,14845,"Albert Boxler Pinot Noir ""S"" 2016",2.0,38.4
5617,14844,Albert Boxler Pinot Gris Réserve 2016,3.0,27.8
6108,14797,Gilles Robin Cornas 2016,0.0,46.0
5379,14561,Argentine Mendoza Alamos Torrontes 2017,0.0,11.1
5903,14099,Stéphane Tissot Arbois Trousseau Singulier 2017,0.0,27.3
5796,13895,Château Saransot-Dupré Bordeaux Blanc 2016,0.0,12.5
4655,13516,Thierry Germain Saumur-Champigny Les Mémoires 2016,0.0,40.2
4357,9562,Champagne Larmandier-Bernier Latitude,0.0,39.0
4731,8344,Domaine Muré Crémant d'Alsace Rosé,18.0,22.0
4401,3506,Cognac Frapin VSOP,1.0,62.5
4144,1662,Champagne Gosset Grand Rosé,87.0,49.0
5932,523,Cognac Normandin Mercier VFC,0.0,59.9
4634,41,Marcel Windholtz Eau de Vie de Marc de Gewurztraminer,0.0,41.0
6206,16580,Domaine Giudicelli Patrimonio Blanc 2019,41.0,25.2
4858,16342,Château Turcaud Bordeaux Rosé 2019,1.0,6.5
4062,16320,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,3.0,11.9
4152,16238,Elian Daros Côtes du Marmandais Chante Coucou 2016,7.0,19.2
4153,16237,Elian Daros Côtes du Marmandais Clos Baquey 2015,36.0,29.0
5779,16213,Maurel Pays d'Oc Syrah 2019,8.0,5.8
4095,16120,Paul Ginglinger Muscat Caroline 2018,4.0,12.6
6615,16071,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,0.0,32.8
6666,16067,Domaine Hauvette IGP Alpilles Dolia 2013,0.0,48.5
4042,16042,Pierre Gaillard Cornas 2017,7.0,31.2
6617,16031,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,6.0,9.9
5609,15930,Domaine Weinbach Riesling Cuvée Colette 2018,2.0,38.6
5524,15864,Domaine Chambeyron Condrieu Vernon 2018,1.0,38.6
6137,15834,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,2.0,46.0
5891,15774,Saumaize-Michelin Viré-Clessé 2018,1.0,19.0
5484,15756,David-Beaupère Juliénas Vayolette 2017,1.0,21.6
4300,15567,Domaine de La Tour Du Bon Bandol Rouge En Sol 2017,1.0,44.0
4096,15564,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,0.0,22.8
4927,15425,Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018,4.0,6.5
5925,15351,Albert Mann Riesling Grand Cru Furstentum 2017,2.0,49.5
5067,15346,Albert Mann Pinot Noir Grand H 2017,16.0,59.9
5815,15238,Maison Trimbach Muscat Réserve 2017,1.0,16.6
6621,15204,Thierry Germain Saumur-Champigny La Marginale 2018,3.0,35.2
5770,15178,Camille Giroud Santenay Blanc 2017,4.0,34.4
6227,15163,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,1.0,40.2
6225,15162,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,4.0,20.4
6050,15134,Christophe Pichon Condrieu 2017,0.0,38.5
5704,15036,Domaine de l'Ecu Muscadet Gneiss 2015,0.0,16.9
4613,15030,Gilbert Picq Chablis 2017,9.0,16.9
4704,15004,Albert Mann Gewurztraminer 2017,3.0,18.2
5544,14828,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,0.0,61.6
5002,14580,David Duband Morey-Saint-Denis 1er Cru Les Broc 2016,0.0,64.9
4779,14300,Clos du Mont-Olivet Vin de France La Sabonite,18.0,7.8
6101,14089,Stéphane Tissot Arbois Blanc La Mailloche 2016,0.0,36.9
4271,13460,Domaine Sérol Côte Roannaise Perdrizière 2016,0.0,16.6
4303,13172,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,0.0,30.0
5905,12881,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,2.0,43.9
4353,12587,Champagne Egly-Ouriet Grand Cru Brut Rosé,3.0,79.5
5008,11602,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,0.0,105.0
4392,11586,Wemyss Malts Blended Malt Scotch Whisky Spice King,0.0,49.5
4334,7818,Champagne Gosset Grand Blanc de Blancs,96.0,49.0
4150,1366,Champagne Mailly Grand Cru Intemporelle 2010,1.0,59.0
4630,793,Marcel Windholtz Eau de Vie de Coing,4.0,62.4
6278,16273,Borie de Maurel Minervois Rouge Esprit d'Automne 2019,5.0,9.0
4930,16155,Domaine La Croix Belle Côtes de Thongue Blanc N°7 2018,5.0,17.5
4601,16151,Catherine et Claude Maréchal Bourgogne Aligoté 2018,4.0,16.1
4899,16062,Domaine Brintet Mercurey Blanc Vieilles Vignes 2018,9.0,21.2
4049,16043,Pierre Gaillard Saint-Joseph Rouge 2018,1.0,19.3
4890,16038,Saumaize-Michelin Saint-Véran 2018,6.0,17.0
4052,16030,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,6.0,33.7
4084,16014,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",0.0,23.2
5619,15922,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",0.0,71.3
5523,15862,Domaine Chambeyron Côte Rôtie Lancement 2017,1.0,60.4
6926,15845,Château Jean Faure Saint-Emilion Grand Cru 2016,1.0,49.9
6627,15791,Weingut Besson-Strasser Zürich Fumé 2017,1.0,41.8
4182,15747,Borie La Vitarèle Saint-Chinian Les Schistes 2017,3.0,16.7
6301,15745,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,0.0,40.5
6568,15707,Decelle-Villa Chambolle-Musigny 2017,0.0,72.0
4262,15663,Chermette Domaine du Vissoux Brouilly Pierreux 2018,3.0,15.8
4261,15662,Chermette Domaine du Vissoux Beaujolais Griottes 2018,1.0,9.9
4202,15655,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert Blanc 2019,0.0,38.0
5738,15566,Triennes IGP Méditerranée Rouge Saint Auguste 2016,11.0,14.6
4918,15533,Alain Graillot Crozes-Hermitage Rouge La Guiraude 2016,24.0,37.2
4067,15490,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,19.0,22.0
4215,15480,Marc Colin Et Fils Saint-Aubin Blanc Luce 2017,0.0,26.5
4707,15466,Albert Mann Pinot Gris Cuvée Albert 2017,13.0,22.8
4240,15436,Domaine Augustin Collioure Rouge Adéodat 2017,0.0,28.0
5826,15325,Agnès Levet Côte Rôtie Améthyste 2017,4.0,41.2
4749,15315,Domaine de Montgilet Anjou Blanc 2016,0.0,11.9
4242,15310,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,14.0,8.6
6109,15201,Gilles Robin Saint-Joseph Rouge André Péalat 2010,1.0,39.2
4248,15033,Domaine Saint-Denis Mâcon Chardonnay 2017,12.0,14.8
4156,14941,Elian Daros Côtes du Marmandais Coucou Blanc 2016,6.0,20.35
4101,14905,Emile Boeckel Pinot Gris Grand Cru Zotzenberg 2016,0.0,15.8
5613,14855,Albert Boxler Chasselas 2016,6.0,19.2
5443,14809,La Rectorie Banyuls Léon Parcé 2016,5.0,23.6
5488,14712,Decelle-Villa Beaune Rouge 2015,0.0,43.5
6204,14604,Domaine Giudicelli Muscat du Cap Corse 2016,7.0,31.0
4797,14506,Domaine Peyre Rose Clos des Cistes 2008,0.0,78.0
4616,14371,Alphonse Mellot Sancerre Rouge La Demoiselle 2015,0.0,57.0
6106,14106,Stéphane Tissot Château-Chalon 2011,0.0,74.8
5548,13965,Thierry Germain Saumur-Champigny Outre Terre 2017,0.0,48.8
5707,13557,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,10.0,10.8
4654,13514,Thierry Germain Saumur-Champigny La Marginale 2016,0.0,33.4
