product_id,sku,post_title,total_sales,price,z_score
5026,13913,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,0.0,86.8,1.9527449732351343
4235,13905,Maroc Graillot/Thaleb Tandem Syrah 2015,1.0,17.1,-0.5535004210778409
4783,13754,Maurice Schoech Pinot Gris Vendanges Tardives 2015,0.0,29.5,-0.10762606111398305
4573,13604,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,0.0,67.2,1.247975823614843
4053,13127,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,23.0,44.3,0.4245465620686859
4219,12599,Domaine de l'Ecu Muscadet Orthogneiss 2014,1.0,16.7,-0.5678834649476429
4364,11585,Wemyss Malts Blended Malt Scotch Whisky The Hive,1.0,49.5,0.6115261323761103
4636,2361,Marcel Windholtz Eau de Vie de Framboise d'Alsace,1.0,50.0,0.6295049372133626
4267,16537,Domaine Bulliat Morgon Amphore Cou de Jus 2019,2.0,19.0,-0.4851809626962821
5446,16328,Parcé Frères Banyuls Rimage 2018,0.0,16.2,-0.5858622697848952
4200,16295,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,46.0,5.8,-0.9598214103997437
4191,16263,Château de La Liquière Faugères Les Amandiers Rouge 2019,12.0,9.3,-0.8339697765389773
4245,16097,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,1.0,8.9,-0.8483528204087792
5904,15856,Domaine de Montbourgeau Côtes du Jura Poulsard 2018,0.0,18.8,-0.492372484631183
4891,15807,Jacqueson Rully Blanc 1er Cru La Pucelle 2018,36.0,27.9,-0.16515823659319057
6920,15740,Château Jean Faure Saint-Emilion Grand Cru 2015,0.0,50.5,0.647483742050615
4909,15614,Antoine-Marie Arena Vin de France Bianco Gentile 2018,0.0,25.9,-0.23707345594219992
5958,15577,Domaine Labranche Laffont Madiran Tradition 2016,0.0,8.7,-0.8555443423436802
6093,15487,Château de Villeneuve Saumur-Champigny 2017,1.0,12.6,-0.7153096646131119
5069,15344,Albert Mann Pinot Noir Les Saintes Claires 2017,0.0,65.0,1.1688690823309327
6223,15324,Planeta Sicilia Chardonnay 2017,6.0,26.7,-0.20830736820259615
4679,15283,Domaine Rotier Gaillac Rouge Renaissance 2016,0.0,13.2,-0.6937350988084091
5766,15179,Camille Giroud Auxey-Duresses Blanc 2017,0.0,35.6,0.11171535790049547
4304,15120,Domaine de l'Idylle Savoie Cruet 2018,0.0,8.1,-0.8771189081483829
5736,15116,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,5.0,14.9,-0.6326071623617513
5614,14856,Albert Boxler Crémant d'Alsace Brut 2014,3.0,19.2,-0.47798944076138117
4241,14725,Parcé Frères IGP Côtes Catalanes Hommage à Fernand Blanc 2019,1.0,8.9,-0.8483528204087792
4705,14699,Albert Mann Gewurztraminer Grand Cru Steingrubler 2016,8.0,31.6,-0.032115080797523204
4672,14676,Domaine Pellé Menetou Salon Rouge Morogues 2017,0.0,17.8,-0.5283300943056877
4748,14632,Jean-Paul Brun Saint-Amour 2017,0.0,14.5,-0.646990206231553
4791,14599,Maurice Schoech Pinot Noir Pièce de Chêne 2016,0.0,13.6,-0.6793520549386072
4276,14527,I Fabbri Chianti Classico Terra Di Lamole 2015,0.0,17.6,-0.5355216162405886
4684,14451,Château Plaisance Fronton To Co Que Cal 2015,3.0,18.1,-0.5175428114033362
5810,14429,Château Tour De Pez Saint-Estèphe 2017,0.0,24.0,-0.3053929143237587
5914,14265,Darnley's London Dry Gin Spiced,1.0,36.0,0.12609840177029727
4256,14253,Domaine Huet Vouvray Haut-Lieu Sec 2017,0.0,24.4,-0.29100987045395693
4910,13809,Antoine-Marie Arena Vin de France Rouge San Giovanni 2017,4.0,17.3,-0.54630889914294
4394,13766,Wemyss Malts Blended Malt Scotch Whisky Treacle Chest,0.0,59.8,0.9818895120235083
4689,13736,Domaine Plageoles Côtes du Tarn Blanc Sec Ondenc,1.0,12.8,-0.7081181426782109
4666,13647,Vincent Carême Vouvray Moelleux 2015,0.0,21.0,-0.41326574334727273
5806,13567,Château La Croix Meunier Saint-Emilion Grand Cru 2014,2.0,17.4,-0.5427131381754896
5056,13531,Domaine de Montgilet Anjou Rouge 2016,1.0,7.5,-0.8986934739530857
4078,13435,Domaine des Bosquets Gigondas La Colline 2015,10.0,44.0,0.4137592791663346
4257,12476,Domaine Huet Vouvray Le Mont Moelleux 2015,0.0,31.7,-0.028519319830072814
4254,12203,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,0.0,26.9,-0.20111584626769524
5819,11933,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,1.0,56.0,0.8452505952603906
5383,3383,Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015,0.0,19.5,-0.46720215785902974
4141,304,Champagne Gosset Grande Réserve,40.0,39.0,0.2339712307938113
4299,16578,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,0.0,39.1,0.2375669917612618
4068,16416,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,62.0,16.6,-0.5714792259150933
4686,16324,Cosse Maisonneuve Cahors Solis 2018,2.0,14.0,-0.6649690110688053
4198,16322,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,0.0,5.8,-0.9598214103997437
4268,16307,Domaine Bulliat Morgon Le Colombier 2019,1.0,15.2,-0.6218198794593999
5480,16306,Domaine Bulliat Chiroubles Cuvée Félix 2019,1.0,10.4,-0.7944164058970222
4232,16269,Argentine Mendoza Alamos Chardonnay 2019,2.0,11.1,-0.7692460791248689
4755,16132,Domaine de Montgilet Vin de France Grolleau 2019,0.0,7.4,-0.9022892349205363
6665,16068,Domaine Hauvette IGP Alpilles Jaspe 2017,1.0,27.7,-0.17234975852809148
4669,16053,Domaine Pellé Menetou Salon Blanc Le Carroir 2018,1.0,20.2,-0.4420318310868765
4048,16044,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,7.0,22.8,-0.3485420459331643
4066,15967,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,20.0,20.8,-0.42045726528217364
4064,15966,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,3.0,14.4,-0.6505859671990036
4892,15952,Jacqueson Rully Rouge Les Chaponnières 2018,3.0,20.1,-0.4456275920543269
