product_id,post_title,price,total_sales,ca_produit
5612,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,124.8,0.0,0.0
5614,Albert Boxler Crémant d'Alsace Brut 2014,19.2,3.0,57.599999999999994
5916,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,93.0,0.0,0.0
4241,Parcé Frères IGP Côtes Catalanes Hommage à Fernand Blanc 2019,8.9,1.0,8.9
4705,Albert Mann Gewurztraminer Grand Cru Steingrubler 2016,31.6,8.0,252.8
4672,Domaine Pellé Menetou Salon Rouge Morogues 2017,17.8,0.0,0.0
4748,Jean-Paul Brun Saint-Amour 2017,14.5,0.0,0.0
4791,Maurice Schoech Pinot Noir Pièce de Chêne 2016,13.6,0.0,0.0
4276,I Fabbri Chianti Classico Terra Di Lamole 2015,17.6,0.0,0.0
4684,Château Plaisance Fronton To Co Que Cal 2015,18.1,3.0,54.300000000000004
5810,Château Tour De Pez Saint-Estèphe 2017,24.0,0.0,0.0
5914,Darnley's London Dry Gin Spiced,36.0,1.0,36.0
4256,Domaine Huet Vouvray Haut-Lieu Sec 2017,24.4,0.0,0.0
4910,Antoine-Marie Arena Vin de France Rouge San Giovanni 2017,17.3,4.0,69.2
4394,Wemyss Malts Blended Malt Scotch Whisky Treacle Chest,59.8,0.0,0.0
4689,Domaine Plageoles Côtes du Tarn Blanc Sec Ondenc,12.8,1.0,12.8
4666,Vincent Carême Vouvray Moelleux 2015,21.0,0.0,0.0
5806,Château La Croix Meunier Saint-Emilion Grand Cru 2014,17.4,2.0,34.8
5056,Domaine de Montgilet Anjou Rouge 2016,7.5,1.0,7.5
4078,Domaine des Bosquets Gigondas La Colline 2015,44.0,10.0,440.0
6215,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,115.0,0.0,0.0
4257,Domaine Huet Vouvray Le Mont Moelleux 2015,31.7,0.0,0.0
4254,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,26.9,0.0,0.0
5819,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,56.0,1.0,56.0
6214,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,99.0,0.0,0.0
